variable,categoria,n,pct_sobre_validos
Peso.al.nacer.GRAMOS,2120,1,0.4
Peso.al.nacer.GRAMOS,2140,1,0.4
Peso.al.nacer.GRAMOS,2164,1,0.4
Peso.al.nacer.GRAMOS,2168,1,0.4
Peso.al.nacer.GRAMOS,2180,1,0.4
Peso.al.nacer.GRAMOS,2205,1,0.4
Peso.al.nacer.GRAMOS,2208,1,0.4
Peso.al.nacer.GRAMOS,2235,1,0.4
Peso.al.nacer.GRAMOS,2290,1,0.4
Peso.al.nacer.GRAMOS,2300,1,0.4
Peso.al.nacer.GRAMOS,2316,1,0.4
Peso.al.nacer.GRAMOS,2330,1,0.4
Peso.al.nacer.GRAMOS,2335,1,0.4
Peso.al.nacer.GRAMOS,2354,1,0.4
Peso.al.nacer.GRAMOS,2365,1,0.4
Peso.al.nacer.GRAMOS,2382,1,0.4
Peso.al.nacer.GRAMOS,2385,1,0.4
Peso.al.nacer.GRAMOS,2415,1,0.4
Peso.al.nacer.GRAMOS,2425,1,0.4
Peso.al.nacer.GRAMOS,2480,1,0.4
Peso.al.nacer.GRAMOS,2482,1,0.4
Peso.al.nacer.GRAMOS,2495,1,0.4
Peso.al.nacer.GRAMOS,2500,1,0.4
Peso.al.nacer.GRAMOS,2510,1,0.4
Peso.al.nacer.GRAMOS,2515,1,0.4
Peso.al.nacer.GRAMOS,2522,1,0.4
Peso.al.nacer.GRAMOS,2530,1,0.4
Peso.al.nacer.GRAMOS,2550,1,0.4
Peso.al.nacer.GRAMOS,2565,1,0.4
Peso.al.nacer.GRAMOS,2570,1,0.4
Peso.al.nacer.GRAMOS,2586,1,0.4
Peso.al.nacer.GRAMOS,2600,1,0.4
Peso.al.nacer.GRAMOS,2617,1,0.4
Peso.al.nacer.GRAMOS,2625,1,0.4
Peso.al.nacer.GRAMOS,2630,1,0.4
Peso.al.nacer.GRAMOS,2635,1,0.4
Peso.al.nacer.GRAMOS,2638,1,0.4
Peso.al.nacer.GRAMOS,2640,1,0.4
Peso.al.nacer.GRAMOS,2642,1,0.4
Peso.al.nacer.GRAMOS,2665,1,0.4
Peso.al.nacer.GRAMOS,2668,1,0.4
Peso.al.nacer.GRAMOS,2676,1,0.4
Peso.al.nacer.GRAMOS,2690,1,0.4
Peso.al.nacer.GRAMOS,2695,1,0.4
Peso.al.nacer.GRAMOS,2700,1,0.4
Peso.al.nacer.GRAMOS,2705,1,0.4
Peso.al.nacer.GRAMOS,2710,1,0.4
Peso.al.nacer.GRAMOS,2720,1,0.4
Peso.al.nacer.GRAMOS,2726,1,0.4
Peso.al.nacer.GRAMOS,2755,1,0.4
Peso.al.nacer.GRAMOS,2765,1,0.4
Peso.al.nacer.GRAMOS,2770,1,0.4
Peso.al.nacer.GRAMOS,2775,1,0.4
Peso.al.nacer.GRAMOS,2785,1,0.4
Peso.al.nacer.GRAMOS,2793,1,0.4
Peso.al.nacer.GRAMOS,2805,1,0.4
Peso.al.nacer.GRAMOS,2816,1,0.4
Peso.al.nacer.GRAMOS,2820,1,0.4
Peso.al.nacer.GRAMOS,2835,1,0.4
Peso.al.nacer.GRAMOS,2838,1,0.4
Peso.al.nacer.GRAMOS,2840,1,0.4
Peso.al.nacer.GRAMOS,2845,1,0.4
Peso.al.nacer.GRAMOS,2865,1,0.4
Peso.al.nacer.GRAMOS,2870,1,0.4
Peso.al.nacer.GRAMOS,2875,1,0.4
Peso.al.nacer.GRAMOS,2885,1,0.4
Peso.al.nacer.GRAMOS,2890,1,0.4
Peso.al.nacer.GRAMOS,2906,1,0.4
Peso.al.nacer.GRAMOS,2910,1,0.4
Peso.al.nacer.GRAMOS,2925,1,0.4
Peso.al.nacer.GRAMOS,2930,1,0.4
Peso.al.nacer.GRAMOS,2970,1,0.4
Peso.al.nacer.GRAMOS,2980,1,0.4
Peso.al.nacer.GRAMOS,3020,1,0.4
Peso.al.nacer.GRAMOS,3026,1,0.4
Peso.al.nacer.GRAMOS,3040,1,0.4
Peso.al.nacer.GRAMOS,3050,1,0.4
Peso.al.nacer.GRAMOS,3062,1,0.4
Peso.al.nacer.GRAMOS,3075,1,0.4
Peso.al.nacer.GRAMOS,3080,1,0.4
Peso.al.nacer.GRAMOS,3085,1,0.4
Peso.al.nacer.GRAMOS,3086,1,0.4
Peso.al.nacer.GRAMOS,3090,1,0.4
Peso.al.nacer.GRAMOS,3094,1,0.4
Peso.al.nacer.GRAMOS,3112,1,0.4
Peso.al.nacer.GRAMOS,3125,1,0.4
Peso.al.nacer.GRAMOS,3134,1,0.4
Peso.al.nacer.GRAMOS,3146,1,0.4
Peso.al.nacer.GRAMOS,3152,1,0.4
Peso.al.nacer.GRAMOS,3160,1,0.4
Peso.al.nacer.GRAMOS,3194,1,0.4
Peso.al.nacer.GRAMOS,3195,1,0.4
Peso.al.nacer.GRAMOS,3200,1,0.4
Peso.al.nacer.GRAMOS,3205,1,0.4
Peso.al.nacer.GRAMOS,3210,1,0.4
Peso.al.nacer.GRAMOS,3214,1,0.4
Peso.al.nacer.GRAMOS,3215,1,0.4
Peso.al.nacer.GRAMOS,3218,1,0.4
Peso.al.nacer.GRAMOS,3220,1,0.4
Peso.al.nacer.GRAMOS,3235,1,0.4
Peso.al.nacer.GRAMOS,3260,1,0.4
Peso.al.nacer.GRAMOS,3288,1,0.4
Peso.al.nacer.GRAMOS,3305,1,0.4
Peso.al.nacer.GRAMOS,3310,1,0.4
Peso.al.nacer.GRAMOS,3314,1,0.4
Peso.al.nacer.GRAMOS,3320,1,0.4
Peso.al.nacer.GRAMOS,3340,1,0.4
Peso.al.nacer.GRAMOS,3345,1,0.4
Peso.al.nacer.GRAMOS,3362,1,0.4
Peso.al.nacer.GRAMOS,3382,1,0.4
Peso.al.nacer.GRAMOS,3388,1,0.4
Peso.al.nacer.GRAMOS,3390,1,0.4
Peso.al.nacer.GRAMOS,3405,1,0.4
Peso.al.nacer.GRAMOS,3410,1,0.4
Peso.al.nacer.GRAMOS,3426,1,0.4
Peso.al.nacer.GRAMOS,3435,1,0.4
Peso.al.nacer.GRAMOS,3460,1,0.4
Peso.al.nacer.GRAMOS,3466,1,0.4
Peso.al.nacer.GRAMOS,3475,1,0.4
Peso.al.nacer.GRAMOS,3476,1,0.4
Peso.al.nacer.GRAMOS,3480,1,0.4
Peso.al.nacer.GRAMOS,3485,1,0.4
Peso.al.nacer.GRAMOS,3488,1,0.4
Peso.al.nacer.GRAMOS,3500,1,0.4
Peso.al.nacer.GRAMOS,3505,1,0.4
Peso.al.nacer.GRAMOS,3515,1,0.4
Peso.al.nacer.GRAMOS,3520,1,0.4
Peso.al.nacer.GRAMOS,3530,1,0.4
Peso.al.nacer.GRAMOS,3545,1,0.4
Peso.al.nacer.GRAMOS,3555,1,0.4
Peso.al.nacer.GRAMOS,3600,1,0.4
Peso.al.nacer.GRAMOS,3640,1,0.4
Peso.al.nacer.GRAMOS,3670,1,0.4
Peso.al.nacer.GRAMOS,3700,1,0.4
Peso.al.nacer.GRAMOS,3732,1,0.4
Peso.al.nacer.GRAMOS,3835,1,0.4
Peso.al.nacer.GRAMOS,3842,1,0.4
Peso.al.nacer.GRAMOS,3915,1,0.4
Peso.al.nacer.GRAMOS,3955,1,0.4
Peso.al.nacer.GRAMOS,3968,1,0.4
Peso.al.nacer.GRAMOS,4026,1,0.4
Peso.al.nacer.GRAMOS,4058,1,0.4
Peso.al.nacer.GRAMOS,4085,1,0.4
Peso.al.nacer.GRAMOS,4110,1,0.4
PESO.EG.CATEGORIA,adecuado,192,75.3
PESO.EG.CATEGORIA,pequeño,54,21.2
PESO.EG.CATEGORIA,grande,9,3.5
RCIU,0,206,80.8
RCIU,1,49,19.2
MACROSÓMICO,0,246,96.5
MACROSÓMICO,1,9,3.5
Peso..Edad.Gestacional.CODIGO,2,193,75.7
Peso..Edad.Gestacional.CODIGO,1,54,21.2
Peso..Edad.Gestacional.CODIGO,3,8,3.1
Peso.al.nacimiento.CODIGO,2,201,78.8
Peso.al.nacimiento.CODIGO,1,50,19.6
Peso.al.nacimiento.CODIGO,3,4,1.6
MASCULINO,0,132,51.8
MASCULINO,1,123,48.2
Alimento.al.alta,lactancia exclusiva,208,81.6
Alimento.al.alta,parcial,26,10.2
Alimento.al.alta,artificial,21,8.2
CONSEJERIA.LACTANCIA,1,142,55.7
CONSEJERIA.LACTANCIA,0,113,44.3
Defectos.congenitos.CODIGO,0,234,91.8
Defectos.congenitos.CODIGO,1,21,8.2
Defectos.congénitos.CIE,123,5,22.7
Defectos.congénitos.CIE,126,3,13.6
Defectos.congénitos.CIE,139,3,13.6
Defectos.congénitos.CIE,127,2,9.1
Defectos.congénitos.CIE,154,2,9.1
Defectos.congénitos.CIE,159,2,9.1
Defectos.congénitos.CIE,145,1,4.5
Defectos.congénitos.CIE,147,1,4.5
Defectos.congénitos.CIE,160,1,4.5
Defectos.congénitos.CIE,162,1,4.5
Defectos.congénitos.CIE,169,1,4.5
Tipos.de.defectos,hidrocefalia,4,19
Tipos.de.defectos,labio hendido,3,14.3
Tipos.de.defectos,hidronefrosis congénita,2,9.5
Tipos.de.defectos,Otras anomalias circulatorias y respiratorias,2,9.5
Tipos.de.defectos,otras malformaciones de SNC,2,9.5
Tipos.de.defectos,atresia duodenal,1,4.8
Tipos.de.defectos,espina bífida,1,4.8
